company,percentage,demographics,job_category
anonymous,0,Hispanic_or_Latino,Professionals
anonymous,0,Hispanic_or_Latino,Professionals
anonymous,0.8,Hispanic_or_Latino,Professionals
anonymous,1.3,Hispanic_or_Latino,Professionals
anonymous,1.6,Hispanic_or_Latino,Professionals
anonymous,1.7,Hispanic_or_Latino,Professionals
anonymous,1.7,Hispanic_or_Latino,Professionals
anonymous,1.8,Hispanic_or_Latino,Professionals
anonymous,1.9,Hispanic_or_Latino,Professionals
anonymous,1.9,Hispanic_or_Latino,Professionals
anonymous,2,Hispanic_or_Latino,Professionals
anonymous,2.1,Hispanic_or_Latino,Professionals
anonymous,2.2,Hispanic_or_Latino,Professionals
anonymous,2.3,Hispanic_or_Latino,Professionals
anonymous,2.3,Hispanic_or_Latino,Professionals
anonymous,2.4,Hispanic_or_Latino,Professionals
anonymous,2.5,Hispanic_or_Latino,Professionals
anonymous,2.5,Hispanic_or_Latino,Professionals
anonymous,2.5,Hispanic_or_Latino,Professionals
eBay,2.6,Hispanic_or_Latino,Professionals
anonymous,2.7,Hispanic_or_Latino,Professionals
anonymous,2.8,Hispanic_or_Latino,Professionals
anonymous,2.8,Hispanic_or_Latino,Professionals
Nvidia,2.8,Hispanic_or_Latino,Professionals
anonymous,2.8,Hispanic_or_Latino,Professionals
anonymous,2.9,Hispanic_or_Latino,Professionals
anonymous,2.9,Hispanic_or_Latino,Professionals
anonymous,2.9,Hispanic_or_Latino,Professionals
anonymous,2.9,Hispanic_or_Latino,Professionals
anonymous,2.9,Hispanic_or_Latino,Professionals
anonymous,3.1,Hispanic_or_Latino,Professionals
anonymous,3.2,Hispanic_or_Latino,Professionals
anonymous,3.3,Hispanic_or_Latino,Professionals
anonymous,3.3,Hispanic_or_Latino,Professionals
anonymous,3.3,Hispanic_or_Latino,Professionals
anonymous,3.4,Hispanic_or_Latino,Professionals
anonymous,3.4,Hispanic_or_Latino,Professionals
anonymous,3.4,Hispanic_or_Latino,Professionals
anonymous,3.4,Hispanic_or_Latino,Professionals
anonymous,3.4,Hispanic_or_Latino,Professionals
anonymous,3.4,Hispanic_or_Latino,Professionals
anonymous,3.5,Hispanic_or_Latino,Professionals
anonymous,3.5,Hispanic_or_Latino,Professionals
anonymous,3.5,Hispanic_or_Latino,Professionals
Uber,3.5,Hispanic_or_Latino,Professionals
Square,3.5,Hispanic_or_Latino,Professionals
anonymous,3.5,Hispanic_or_Latino,Professionals
Pinterest,3.6,Hispanic_or_Latino,Professionals
anonymous,3.6,Hispanic_or_Latino,Professionals
